round_shots,500,200,100,200,100,100
round_queries,500,1000,1700,11800,32500,621500
round_k,2,8,29,162,598,3107
round_shots,600,200,100,200,100,100
round_queries,600,1000,1700,10600,25700,607100
round_k,2,8,26,128,573,3035
round_shots,600,300,200,100,100
round_queries,600,1500,5000,11900,220900
round_k,2,12,59,226,1104
round_shots,400,100,100,100,100,100
round_queries,400,500,1700,5300,19700,409100
round_k,2,8,26,98,394,2045
round_shots,600,200,200,100,100,100
round_queries,600,1000,3800,9100,32100,739700
round_k,2,9,45,160,684,3698
round_shots,500,200,100,100,100
round_queries,500,1400,3100,9700,185500
round_k,3,15,48,198,927
round_shots,500,200,200,100,100
round_queries,500,1400,5800,13900,213500
round_k,3,14,69,234,1067
round_shots,500,200,100,100,100
round_queries,500,1400,3100,9700,173900
round_k,3,15,48,187,869
round_shots,600,200,100,200,100
round_queries,600,1400,3100,23800,301700
round_k,3,15,59,307,1508
round_shots,500,300,100,100,100
round_queries,500,1500,2500,9100,173300
round_k,2,12,45,188,866
round_shots,500,200,200,200,100
round_queries,500,1400,4600,17000,219700
round_k,3,11,42,243,1098
round_shots,600,200,100,100,100
round_queries,600,1400,2500,9300,155700
round_k,3,12,46,171,778
round_shots,500,200,200,100,100
round_queries,500,1400,5000,9700,156900
round_k,3,12,48,177,784
round_shots,600,200,100,100,100,100
round_queries,600,1000,1900,6300,23100,544900
round_k,2,9,31,115,517,2724
round_shots,700,100,200,100,100
round_queries,700,700,4600,11100,205300
round_k,3,11,55,218,1026
round_shots,500,200,200,200,100
round_queries,500,1000,3400,13000,180100
round_k,2,8,32,190,900
round_shots,600,200,100,200,100,100
round_queries,600,1000,1900,13000,31900,615300
round_k,2,9,32,159,646,3076
round_shots,400,300,100,100,100,100
round_queries,400,1500,2300,7700,30500,507900
round_k,2,11,38,152,485,2539
round_shots,600,200,100,100,100
round_queries,600,1400,2900,10300,163900
round_k,3,14,51,181,819
round_shots,600,200,100,100,100
round_queries,600,1400,3100,9700,185500
round_k,3,15,48,192,927
round_shots,600,100,200,100,100,100
round_queries,600,500,3400,7100,25700,607100
round_k,2,8,35,128,569,3035
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,6500,21100,425900
round_k,2,8,32,105,425,2129
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,6100,22500,512500
round_k,2,8,30,112,484,2562
round_shots,700,200,200,100,100
round_queries,700,1000,3800,9100,155900
round_k,2,9,45,183,779
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,5900,19700,394300
round_k,2,8,29,98,388,1971
round_shots,600,200,100,100,100
round_queries,600,1400,3100,12100,246900
round_k,3,15,60,256,1234
round_shots,500,200,100,100,100
round_queries,500,1400,3500,12500,203700
round_k,3,17,62,208,1018
round_shots,400,200,100,200,100,100
round_queries,400,1000,1700,10600,28500,708500
round_k,2,8,26,142,658,3542
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7700,27500,668700
round_k,2,11,38,137,624,3343
round_shots,500,200,200,100,100
round_queries,500,1000,3400,7700,150500
round_k,2,8,38,160,752
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,8500,31700,756500
round_k,2,8,42,158,703,3782
round_shots,600,300,100,100,100,100
round_queries,600,1500,2500,9500,32900,574900
round_k,2,12,47,164,623,2874
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,6100,23900,548100
round_k,2,8,30,119,524,2740
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,5900,22100,483500
round_k,2,9,29,110,464,2417
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8900,147100
round_k,2,11,44,157,735
round_shots,600,200,100,100,100
round_queries,600,1400,3100,9700,192500
round_k,3,15,48,206,962
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,6100,19700,301500
round_k,2,8,30,98,377,1507
round_shots,500,200,200,100,100,100
round_queries,500,1000,3800,6700,26300,637100
round_k,2,9,33,131,606,3185
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6700,21100,498700
round_k,2,9,33,105,481,2493
round_shots,600,200,100,100,100,100
round_queries,600,1400,3100,10300,33100,638900
round_k,3,15,51,165,603,3194
round_shots,500,100,100,100,100,100
round_queries,500,500,1700,5900,19700,405700
round_k,2,8,29,98,398,2028
round_shots,600,200,100,100,100,100
