round_queries,300,500,1500,4700,17300,338900
round_k,2,7,23,86,348,1694
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24300,609100
round_k,2,9,30,121,569,3045
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,158500
round_k,2,11,39,168,792
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,5700,20700,477900
round_k,2,9,28,103,459,2389
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,24500,597700
round_k,2,9,32,122,567,2988
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6700,27900,704100
round_k,2,9,33,139,649,3520
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6700,27500,672700
round_k,2,9,33,137,623,3363
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6900,26500,626500
round_k,2,9,34,132,589,3132
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7900,30700,753300
round_k,2,11,39,153,686,3766
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,18700,393500
round_k,2,7,23,93,385,1967
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7900,147700
round_k,2,11,39,160,738
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,27700,660500
round_k,2,11,37,138,616,3302
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5900,21500,484700
round_k,2,9,29,107,470,2423
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,20500,396500
round_k,2,9,28,102,406,1982
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,157100
round_k,2,11,41,167,785
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6900,28700,718300
round_k,2,9,34,143,662,3591
round_shots,300,100,200,100,100,100
round_queries,300,500,3000,6700,26700,666900
round_k,2,7,33,133,620,3334
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,5500,21500,477500
round_k,2,7,27,107,466,2387
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7300,28300,669500
round_k,2,9,36,141,625,3347
