round_k,0,4,12,28,62,132,298
round_shots,3700,300,300,300,300,200,200
round_queries,3700,2100,5100,12300,29700,50600,107800
round_k,0,3,8,20,49,126,269
round_shots,2800,400,300,200,200,200,200
round_queries,2800,3600,7500,10200,22200,45800,95400
round_k,0,4,12,25,55,114,238
round_shots,2400,400,300,400,200,200,200
round_queries,2400,2800,5100,15600,17800,38600,83800
round_k,0,3,8,19,44,96,209
round_shots,3400,400,300,300,200,200,200
round_queries,3400,2800,5100,12300,19800,44600,100600
round_k,0,3,8,20,49,111,251
round_shots,3600,400,300,300,300,300
round_queries,3600,3600,6900,14700,41100,96900
round_k,0,4,11,24,68,161
round_shots,3000,500,300,200,200,300,200
round_queries,3000,3500,5100,9800,21400,66300,92600
round_k,0,3,8,24,53,110,231
round_shots,2500,300,400,200,200,300,200
round_queries,2500,2100,6800,7800,17400,52500,79000
round_k,0,3,8,19,43,87,197
round_shots,3600,500,300,200,300,200,100
round_queries,3600,3500,5100,10200,32700,59000,66700
round_k,0,3,8,25,54,147,333
round_shots,3500,500,300,300,200,200,200
round_queries,3500,3500,5100,12300,19400,40600,87800
round_k,0,3,8,20,48,101,219
round_shots,3400,400,400,300,300,300,100
round_queries,3400,3600,9200,17100,36300,76500,58700
round_k,0,4,11,28,60,127,293
round_shots,3100,400,500,300,400,200,200
round_queries,3100,2800,8500,14100,38800,46200,102200
round_k,0,3,8,23,48,115,255
round_shots,2000,400,400,200,200,300,100
round_queries,2000,2800,6800,9400,20600,69300,61100
round_k,0,3,8,23,51,115,305
round_shots,3100,400,400,300,200,300,100
