round_shots,200,100,100,400
round_queries,200,300,900,43600
round_k,1,4,14,54
round_shots,200,200,100,100,100
round_queries,200,600,900,2700,31900
round_k,1,4,13,41,159
round_shots,200,200,100,100,100
round_queries,200,600,1100,3500,42900
round_k,1,5,17,54,214
round_shots,100,100,100,300
round_queries,100,300,900,37500
round_k,1,4,16,62
round_shots,200,100,100,200,100
round_queries,200,300,900,5800,38100
round_k,1,4,14,44,190
round_shots,200,100,200,200
round_queries,200,300,1800,33000
round_k,1,4,21,82
round_shots,300,200,100,200
round_queries,300,600,1100,29800
round_k,1,5,18,74
round_shots,200,200,200,100
round_queries,200,600,2200,23500
round_k,1,5,21,117
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,43900
round_k,1,4,14,48,219
round_shots,200,200,100,100
round_queries,200,600,1300,19100
round_k,1,6,21,95
round_shots,200,100,100,200,100
round_queries,200,300,900,6200,37500
round_k,1,4,15,48,187
round_shots,200,100,100,100,200
round_queries,200,300,900,2700,52200
round_k,1,4,13,41,130
round_shots,200,200,200,500,100
round_queries,200,600,1800,22500,59900
round_k,1,4,22,67,299
round_shots,200,200,200,100
round_queries,200,600,2600,20700
round_k,1,6,26,103
round_shots,200,200,200,200
round_queries,200,600,1800,27000
round_k,1,4,19,67
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,35700
round_k,1,4,13,43,178
round_shots,200,200,100,300
round_queries,200,600,1100,35700
round_k,1,5,18,59
round_shots,200,200,100,300
round_queries,200,600,1300,36900
round_k,1,6,20,61
round_shots,200,100,200,200,100
round_queries,200,300,1800,7000,69700
round_k,1,4,17,72,348
round_shots,200,200,100,200,100
round_queries,200,600,1300,7800,69500
round_k,1,6,19,76,347
round_shots,200,100,100,200,100
round_queries,200,300,900,5800,54100
round_k,1,4,14,45,270
round_shots,100,100,200,500,100
round_queries,100,300,1800,16500,33900
round_k,1,4,16,56,169
round_shots,200,200,100,100,100
round_queries,200,600,1100,3700,52700
round_k,1,5,18,57,263
round_shots,200,200,200,100
round_queries,200,600,2200,30300
round_k,1,5,19,151
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,42500
round_k,1,4,13,48,212
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,55700
round_k,1,4,13,56,278
round_shots,200,200,100,100
round_queries,200,600,1300,42300
round_k,1,6,22,211
round_shots,200,200,100,300
round_queries,200,600,1100,35700
round_k,1,5,17,59
round_shots,200,200,100,400
round_queries,200,600,900,43600
round_k,1,4,13,54
round_shots,200,200,200,200
round_queries,200,600,1800,30600
round_k,1,4,16,76
round_shots,200,200,200,100,100
round_queries,200,600,1800,3300,41100
round_k,1,4,16,53,205
round_shots,200,200,200,100,100
round_queries,200,600,2200,4100,67300
round_k,1,5,20,78,336
round_shots,200,200,200,100
round_queries,200,600,2200,24100
round_k,1,5,20,120
round_shots,200,200,200,200,100
round_queries,200,600,1800,6600,48100
round_k,1,4,16,49,240
round_shots,200,100,100,300
round_queries,200,300,900,33300
round_k,1,4,15,55
round_shots,200,100,100,100,100
round_queries,200,300,900,3100,45100
round_k,1,4,15,55,225
round_shots,200,200,100,100
round_queries,200,600,1100,26500
round_k,1,5,18,132
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,73500
round_k,1,4,13,47,367
round_shots,200,200,200,100
round_queries,200,600,2200,42900
round_k,1,5,26,214
round_shots,200,200,200,200,100
round_queries,200,600,2200,9000,54300
round_k,1,5,22,72,271
round_shots,200,200,100,300,100
round_queries,200,600,1300,12900,64300
round_k,1,6,21,69,321
round_shots,200,200,200,200
round_queries,200,600,2200,33800
round_k,1,5,26,84
round_shots,200,200,100,300
round_queries,200,600,1300,38700
round_k,1,6,19,64
round_shots,200,100,100,100,100
round_queries,200,300,900,3100,35300
round_k,1,4,15,58,176
round_shots,100,100,200,100,100
round_queries,100,300,1800,3300,37500
round_k,1,4,16,51,187
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,35100
round_k,1,4,14,54,175
round_shots,200,200,200,300,100
round_queries,200,600,2200,14100,51100
round_k,1,5,23,74,255
round_shots,200,100,100,400,100
round_queries,200,300,900,10800,33300
round_k,1,4,13,42,166
round_shots,200,100,100,200,100
round_queries,200,300,900,5800,68900
round_k,1,4,14,45,344
round_shots,200,200,100,200,100
round_queries,200,600,1100,7400,73500
round_k,1,5,18,72,367
round_shots,200,100,300,300,100
round_queries,200,300,2700,9300,53900
round_k,1,4,15,76,269
round_shots,100,200,200,100
round_queries,100,600,2600,42300
round_k,1,6,22,211
round_shots,200,200,200,100
round_queries,200,600,2600,28100
round_k,1,6,21,140
round_shots,200,200,100,200,100
round_queries,200,600,1100,7400,63900
round_k,1,5,18,86,319
round_shots,200,200,200,100
round_queries,200,600,2200,22900
round_k,1,5,21,114
round_shots,200,200,100,200,100
round_queries,200,600,1100,7400,47700
round_k,1,5,18,79,238
round_shots,200,200,200,100
round_queries,200,600,2600,38100
round_k,1,6,26,190
round_shots,200,100,200,100,100
round_queries,200,300,1800,3100,43700
round_k,1,4,15,55,218
round_shots,200,200,200,200
round_queries,200,600,2600,30600
round_k,1,6,23,76
round_shots,200,100,100,400
round_queries,200,300,900,42000
