round_k,0,1,6,32,162,836
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6300,32300,163300
round_k,0,1,7,31,161,816
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5500,26900,136300,709500
round_k,0,1,6,27,134,681,3547
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,23300,120100,621900
round_k,0,1,6,25,116,600,3109
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5300,26100,134100,698100
round_k,0,1,6,26,130,670,3490
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,5900,29700,150900
round_k,0,1,6,29,148,754
round_shots,300,100,100,100,100,100
round_queries,300,900,3700,15900,76500,346300
round_k,0,4,18,79,382,1731
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5700,26700,135100,691900
round_k,0,1,6,28,133,675,3459
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,18500,94100,486700
round_k,0,1,5,19,92,470,2433
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,25100,126700,656700
round_k,0,1,6,25,125,633,3283
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,30500,153500
round_k,0,1,6,31,152,767
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,28900,142700,739700
round_k,0,1,6,30,144,713,3698
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5300,25700,134100,703900
round_k,0,1,5,26,128,670,3519
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,23300,115300,599500
round_k,0,1,6,24,116,576,2997
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23500,118100,616300
round_k,0,1,5,25,117,590,3081
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,26300,132100,669500
round_k,0,1,6,29,131,660,3347
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,29700,150900
round_k,0,1,6,30,148,754
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,6900,32900,165700
round_k,0,1,7,34,164,828
round_shots,300,100,100,100,100,100
round_queries,300,900,4100,19300,98700,494700
round_k,0,4,20,96,493,2473
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,27900,146700,768900
round_k,0,1,6,30,139,733,3844
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,23500,117700,604900
round_k,0,1,6,25,117,588,3024
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1100,5100,25100,128300,669700
round_k,0,1,5,25,125,641,3348
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5300,23500,119500,619300
round_k,0,1,6,26,117,597,3096
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5100,23900,121500,635300
round_k,0,1,5,25,119,607,3176
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,22900,109700,569500
round_k,0,1,6,25,114,548,2847
round_shots,100,200,100,100,100,100
round_queries,100,600,1300,5900,29500,152500
round_k,0,1,6,29,147,762
round_shots,300,200,100,100,100,100
round_queries,300,600,1500,6300,31900,164500
round_k,0,1,7,31,159,822
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,30300,151700
round_k,0,1,6,30,151,758
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,23700,123900,634300
round_k,0,1,6,25,118,619,3171
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24100,120100,634700
round_k,0,1,6,25,120,600,3173
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,29900,156300
round_k,0,1,6,31,149,781
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4300,21500,108500,554100
round_k,0,1,5,21,107,542,2770
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,7700,39100,199300
round_k,0,1,7,38,195,996
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6100,29300,144900,750100
round_k,0,1,6,30,146,724,3750
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24900,123100,639500
round_k,0,1,6,25,124,615,3197
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5300,24900,126300,659300
round_k,0,1,6,26,124,631,3296
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,5500,31100,160900
round_k,0,1,6,27,155,804
round_shots,100,100,100,100,100,100
round_queries,100,300,1500,6700,32500,163500
round_k,0,1,7,33,162,817
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23900,116700,599900
round_k,0,1,5,25,119,583,2999
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,29500,147100,756100
round_k,0,1,6,30,147,735,3780
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,29300,148500
round_k,0,1,6,31,146,742
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23700,120700,631700
