round_shots,1040,170,126,78,69,108,10
round_queries,1040,850,2394,5070,13731,66420,56490
round_k,2,9,32,99,307,941,2824
round_shots,1016,196,101,84,85,60,5
round_queries,1016,980,1919,4788,15385,33300,25565
round_k,2,9,28,90,277,842,2556
round_shots,518,127,199,86,78,82,15
round_queries,518,635,2985,4386,12402,39934,69165
round_k,2,7,25,79,243,764,2305
round_shots,976,167,91,109,123,98,68
round_queries,976,501,819,2943,10701,27538,180268
round_k,1,4,13,43,140,436,1325
round_shots,888,195,128,79,98,87,5
round_queries,888,975,2432,5135,19110,54723,30325
round_k,2,9,32,97,314,956,3032
round_shots,579,296,121,99,72,67,6
round_queries,579,1480,2783,7029,16920,48575,39306
round_k,2,11,35,117,362,1088,3275
round_shots,881,193,95,86,107,68,4
round_queries,881,965,1805,5246,20437,40732,22716
round_k,2,9,30,95,299,904,2839
round_shots,606,243,105,88,62,59,3
round_queries,606,1215,2415,6952,15190,43365,21453
round_k,2,11,39,122,367,1164,3575
round_shots,632,231,109,82,110,56,8
round_queries,632,1155,2507,6478,26950,41160,53768
round_k,2,11,39,122,367,1114,3360
round_shots,841,318,90,77,234,63,3
round_queries,841,1590,2070,5313,49374,41895,18795
round_k,2,11,34,105,332,1031,3132
round_shots,429,227,99,108,80,58,8
round_queries,429,1135,1881,6588,15600,34394,44376
round_k,2,9,30,97,296,894,2773
round_shots,520,310,98,93,122,105,3
round_queries,520,1550,2254,6417,25498,70455,18909
round_k,2,11,34,104,335,1050,3151
round_shots,870,133,181,102,80,80,32
round_queries,870,399,1629,3366,8720,28400,105184
round_k,1,4,16,54,177,545,1643
round_shots,560,233,172,189,89,89,9
round_queries,560,1165,3268,11907,17533,55269,51975
round_k,2,9,31,98,310,953,2887
round_shots,924,289,116,97,64,56,13
round_queries,924,1445,2668,6693,13376,35112,75595
round_k,2,11,34,104,313,958,2907
round_shots,833,318,152,83,60,54
round_queries,833,1590,4104,7719,17340,140454
round_k,2,13,46,144,433,1300
round_shots,996,212,130,100,96,72,4
