round_shots,278,35
round_queries,278,805
round_k,3,11
round_shots,209,74,3
round_queries,209,370,183
round_k,2,9,30
round_shots,156,93,3
round_queries,156,465,165
round_k,2,8,27
round_shots,181,53
round_queries,181,1007
round_k,2,9
round_shots,304,71,4
round_queries,304,355,236
round_k,2,9,29
round_shots,136,53,5
round_queries,136,265,275
round_k,2,8,27
round_shots,277,29
round_queries,277,725
round_k,3,12
round_shots,254,53,4
round_queries,254,265,212
round_k,2,8,26
round_shots,256,35
round_queries,256,805
round_k,3,11
round_shots,318,65,2
round_queries,318,455,142
round_k,3,11,35
round_shots,260,81,3
round_queries,260,405,177
round_k,2,9,29
round_shots,152,88,4
round_queries,152,440,244
round_k,2,9,30
round_shots,330,29
round_queries,330,725
round_k,3,12
round_shots,324,35
round_queries,324,805
round_k,3,11
round_shots,335,61,3
round_queries,335,305,165
round_k,2,8,27
round_shots,163,73,5
round_queries,163,365,275
round_k,2,8,27
round_shots,149,66,4
round_queries,149,330,244
round_k,2,9,30
round_shots,219,55,5
round_queries,219,275,265
round_k,2,8,26
round_shots,177,93,4
round_queries,177,465,236
round_k,2,9,29
round_shots,212,53,3
round_queries,212,265,171
round_k,2,8,28
round_shots,240,91,4
round_queries,240,455,244
round_k,2,9,30
round_shots,159,104,4
round_queries,159,520,236
round_k,2,9,29
round_shots,240,65,5
round_queries,240,325,265
round_k,2,8,26
round_shots,310,29
round_queries,310,725
round_k,3,12
round_shots,181,53,3
round_queries,181,265,171
round_k,2,8,28
round_shots,291,74,5
round_queries,291,370,275
round_k,2,8,27
round_shots,273,35
round_queries,273,805
round_k,3,11
round_shots,134,56,5
round_queries,134,280,265
round_k,2,8,26
round_shots,281,48,4
round_queries,281,240,212
round_k,2,8,26
round_shots,335,29
round_queries,335,725
round_k,3,12
round_shots,172,64,3
round_queries,172,320,183
round_k,2,9,30
round_shots,202,60,3
round_queries,202,300,183
round_k,2,9,30
round_shots,240,84,3
round_queries,240,420,165
round_k,2,8,27
round_shots,163,48,3
