round_k,0,2,7,19
round_shots,71,20,15,17,13
round_queries,71,60,135,323,507
round_k,0,1,4,9,19
round_shots,84,32,18,13,6
round_queries,84,160,234,351,330
round_k,0,2,6,13,27
round_shots,139,28,21,17,12
round_queries,139,84,189,323,492
round_k,0,1,4,9,20
round_shots,66,48,15,20,9
round_queries,66,144,135,380,405
round_k,0,1,4,9,22
round_shots,131,24,23,15,5
round_queries,131,120,299,435,305
round_k,0,2,6,14,30
round_shots,115,38,18,15,2
round_queries,115,190,270,495,134
round_k,0,2,7,16,33
round_shots,134,35,23,14,9
round_queries,134,105,207,294,405
round_k,0,1,4,10,22
round_shots,154,35,23,19,6
round_queries,154,105,207,437,330
round_k,0,1,4,11,27
round_shots,139,20,15,19,11
round_queries,139,60,135,361,451
round_k,0,1,4,9,20
round_shots,98,51,19,11
round_queries,98,255,361,451
round_k,0,2,9,20
round_shots,93,48,24,5
round_queries,93,240,456,255
round_k,0,2,9,25
round_shots,108,26,19,17,6
round_queries,108,130,247,459,330
round_k,0,2,6,13,27
round_shots,80,21,17,19,4
round_queries,80,105,187,475,228
round_k,0,2,5,12,28
round_shots,87,40,13,21,2
round_queries,87,200,169,609,142
round_k,0,2,6,14,35
round_shots,109,20,17,17,11
round_queries,109,60,153,323,473
round_k,0,1,4,9,21
round_shots,116,51,21,9
round_queries,116,255,399,423
round_k,0,2,9,23
round_shots,98,40,16,18,6
round_queries,98,200,208,486,330
round_k,0,2,6,13,27
round_shots,119,20,16,17,12
round_queries,119,60,144,323,492
round_k,0,1,4,9,20
round_shots,112,28,26,16,7
round_queries,112,140,286,368,357
round_k,0,2,5,11,25
round_shots,140,48,23,9
round_queries,140,240,437,423
round_k,0,2,9,23
round_shots,92,33,21,18
round_queries,92,165,315,594
round_k,0,2,7,16
round_shots,80,23,26,18
round_queries,80,115,338,594
round_k,0,2,6,16
round_shots,93,50,23,17,4
round_queries,93,250,299,493,260
round_k,0,2,6,14,32
round_shots,91,37,26,15,2
round_queries,91,185,338,495,138
round_k,0,2,6,16,34
round_shots,80,23,18,17,3
round_queries,80,115,234,459,177
round_k,0,2,6,13,29
round_shots,28,28,16,18,7
round_queries,28,84,144,342,301
round_k,0,1,4,9,21
round_shots,115,23,23,15,3
round_queries,115,115,299,435,183
round_k,0,2,6,14,30
round_shots,28,35,15,21,9
round_queries,28,105,135,399,423
round_k,0,1,4,9,23
round_shots,140,31,27,17,3
round_queries,140,155,351,459,177
round_k,0,2,6,13,29
round_shots,105,49,24,12
round_queries,105,245,456,492
round_k,0,2,9,20
round_shots,84,26,18,19,6
round_queries,84,130,198,437,330
round_k,0,2,5,11,27
round_shots,114,17,17,16,5
round_queries,114,85,187,400,305
round_k,0,2,5,12,30
round_shots,86,48,18,12
round_queries,86,240,342,492
round_k,0,2,9,20
round_shots,82,28,28,19,4
round_queries,82,84,252,437,212
round_k,0,1,4,11,26
round_shots,105,48,18,18,2
round_queries,105,240,270,558,138
round_k,0,2,7,15,34
round_shots,98,42,21,16,3
round_queries,98,210,315,528,213
round_k,0,2,7,16,35
round_shots,48,28,36,21,3
