round_shots,48,26,16
round_queries,48,78,528
round_k,1,4,16
round_shots,459,16
round_queries,459,528
round_k,4,16
round_shots,290,26,16
round_queries,290,78,528
round_k,1,4,16
round_shots,256,35
round_queries,256,805
round_k,3,11
round_shots,327,34,2
round_queries,327,238,126
round_k,3,10,31
round_shots,304,29
round_queries,304,725
round_k,3,12
round_shots,292,58,1
round_queries,292,406,75
round_k,3,11,37
round_shots,262,29
round_queries,262,725
round_k,3,12
round_shots,472,16
round_queries,472,528
round_k,4,16
round_shots,416,49,16
round_queries,416,147,528
round_k,1,4,16
round_shots,253,69,16
round_queries,253,207,528
round_k,1,4,16
round_shots,483,29
round_queries,483,725
round_k,3,12
round_shots,506,44,2
round_queries,506,308,142
round_k,3,11,35
round_shots,209,40,7
round_queries,209,200,329
round_k,2,7,23
round_shots,265,29
