round_k,1,12,40,121,366
round_shots,218,489,131,101,31
round_queries,218,1467,1179,2727,9517
round_k,1,4,13,49,153
round_shots,318,743,62,54
round_queries,318,2229,1674,13230
round_k,1,13,40,122
round_shots,93,583,95,118
round_queries,93,1749,2185,29618
round_k,1,11,39,125
round_shots,260,567,134,61,3
round_queries,260,1701,2814,4697,2139
round_k,1,10,38,118,356
round_shots,153,613,105,97,57
round_queries,153,1839,945,2619,18183
round_k,1,4,13,50,159
round_shots,188,650,70,65,6
round_queries,188,1950,1750,4875,4206
round_k,1,12,37,115,350
round_shots,152,681,76,145
round_queries,152,2043,1900,36105
round_k,1,12,37,124
round_shots,88,399,137,67,55
round_queries,88,1197,1233,1809,13585
round_k,1,4,13,40,123
round_shots,126,520,81,79,6
round_queries,126,1560,1701,5451,4134
round_k,1,10,34,108,344
round_shots,141,656,67,58,5
round_queries,141,1968,1675,4350,3465
round_k,1,12,37,114,346
round_shots,118,675,93,86,4
round_queries,118,2025,2325,6450,2884
round_k,1,12,37,119,360
round_shots,102,730,69,125
round_queries,102,2190,1725,31125
round_k,1,12,38,124
round_shots,311,526,137,97,71
round_queries,311,1578,1233,2619,21797
round_k,1,4,13,49,153
round_shots,129,648,65,109,3
round_queries,129,1944,1495,7739,2175
round_k,1,11,35,114,362
round_shots,199,538,111,68,3
round_queries,199,1614,2331,4964,2175
round_k,1,10,36,117,362
round_shots,88,600,77,56
round_queries,88,1800,1771,13832
round_k,1,11,37,123
round_shots,132,579,200,42
round_queries,132,1737,4200,10962
round_k,1,10,41,130
round_shots,146,514,168,74,3
round_queries,146,1542,3192,5402,2139
round_k,1,9,36,117,356
round_shots,135,645,72,57
round_queries,135,1935,1800,13965
round_k,1,12,37,122
round_shots,127,569,79,60,6
round_queries,127,1707,1817,4500,4050
round_k,1,11,37,112,337
round_shots,129,494,131,60,4
round_queries,129,1482,2751,4620,2884
round_k,1,10,38,118,360
round_shots,240,606,86,57,3
round_queries,240,1818,1978,4389,2097
round_k,1,11,38,116,349
round_shots,99,675,64,99,3
round_queries,99,2025,1600,7425,2211
round_k,1,12,37,120,368
round_shots,194,512,132,79,3
round_queries,194,1536,2772,6083,2187
round_k,1,10,38,121,364
round_shots,152,411,173,60,57,6
round_queries,152,1233,1557,1620,4617,4530
round_k,1,4,13,40,124,377
round_shots,312,429,105,102,50
round_queries,312,1287,945,2754,14550
round_k,1,4,13,47,145
round_shots,212,667,100,73,7
round_queries,212,2001,2500,5475,5019
round_k,1,12,37,119,358
round_shots,109,572,84,92,4
round_queries,109,1716,1932,7084,2940
round_k,1,11,38,120,367
round_shots,159,642,78,78,3
round_queries,159,1926,1950,6318,2295
round_k,1,12,40,127,382
round_shots,109,485,90,56,10
round_queries,109,1455,1890,3976,6510
round_k,1,10,35,106,325
round_shots,118,380,119,75,4
round_queries,118,1140,2023,3825,2188
round_k,1,8,25,87,273
round_shots,246,432,84,101,46
round_queries,246,1296,756,2727,14858
round_k,1,4,13,51,161
round_shots,155,681,84,98,30
round_queries,155,2043,756,2646,9930
round_k,1,4,13,51,165
round_shots,121,526,90,63,3
round_queries,121,1578,1890,4473,2031
round_k,1,10,35,108,338
round_shots,159,592,71,70,7
round_queries,159,1776,1633,5110,5131
round_k,1,11,36,117,366
round_shots,302,569,84,65,8
round_queries,302,1707,1932,4485,5592
round_k,1,11,34,113,349
round_shots,218,229,77,78,50
round_queries,218,687,693,2106,13150
