round_queries,200,600,1800,5400,12100,39300,144700,594900,14599500
round_k,1,4,13,60,196,723,2974,13603,72997
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3500,11300,38300,147900,618500,15530700
round_k,1,4,17,56,191,739,3092,14356,77653
round_shots,100,200,200,200,100,100,100,100
round_queries,100,600,1800,7000,16300,56700,220700,4587300
round_k,1,4,17,81,283,1103,4733,22936
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,2200,3500,11100,37100,142300,574900,14026100
round_k,1,5,17,55,185,711,2874,13158,70130
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,9500,30300,107300,439700,10432500
round_k,1,4,13,47,151,536,2198,10034,52162
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11100,38300,143100,596700,14963500
round_k,1,4,17,55,191,715,2983,13901,74817
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,15700,53100,205100,4187100
round_k,1,4,17,78,265,1025,4366,20935
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,900,2700,8300,25300,87900,356700,8113300
round_k,1,4,13,41,126,439,1783,7955,40566
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,9700,32300,120100,497300,11935300
round_k,1,4,13,48,161,600,2486,11348,59676
round_shots,100,100,200,200,100,100,100,100,100
round_queries,100,300,1800,7000,12700,42700,159300,670100,17233500
round_k,1,4,17,63,213,796,3350,15735,86167
round_shots,200,300,100,200,100,100,100,100,100
round_queries,200,900,900,5400,8900,30700,114500,464500,10964700
round_k,1,4,13,44,153,572,2322,10594,54823
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,12100,41500,157300,658500,16808900
round_k,1,4,13,60,207,786,3292,15439,84044
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11300,35700,133700,549700,13514900
round_k,1,4,17,56,178,668,2748,12623,67574
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,10700,34700,124500,514100,12438300
round_k,1,4,17,53,173,622,2570,11810,62191
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11100,38500,144500,602500,15122500
round_k,1,4,17,55,192,722,3012,14000,75612
round_shots,100,100,200,200,100,100,100,100,100
round_queries,100,300,1800,5800,12100,40100,150700,629100,15943500
round_k,1,4,14,60,200,753,3145,14668,79717
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5800,12300,41900,156700,658700,16854100
round_k,1,4,14,61,209,783,3293,15417,84270
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,14700,51300,197700,3881700
round_k,1,4,17,73,256,988,4127,19408
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7800,18900,59700,208100,3649500
round_k,1,4,19,94,298,1040,3909,18247
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5800,13300,46900,181100,3625300
round_k,1,4,14,66,234,905,3799,18126
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,12100,40100,150300,617500,15544100
round_k,1,4,13,60,200,751,3087,14393,77720
round_shots,200,300,200,100,100,100,100,100,100
round_queries,200,900,2200,3500,10700,35900,137500,567700,14168300
round_k,1,5,17,53,179,687,2838,13188,70841
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5800,11500,39900,148500,621500,15471300
round_k,1,4,14,57,199,742,3107,14445,77356
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,14100,48100,186100,3691700
round_k,1,4,17,70,240,930,3899,18458
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11300,39700,146900,614500,15339900
round_k,1,4,17,56,198,734,3072,14313,76699
round_shots,200,100,200,100,100,100,100,100,100
round_queries,200,300,1800,3300,10700,33700,116900,484300,11647300
round_k,1,4,16,53,168,584,2421,11065,58236
round_shots,300,200,200,100,200,100,100,100,100
round_queries,300,600,1800,2700,16600,38100,143700,600300,15016300
round_k,1,4,13,41,190,718,3001,13935,75081
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,11900,41700,151900,625300,15752300
round_k,1,4,16,59,208,759,3126,14663,78761
round_shots,200,300,200,200,100,100,100,100
round_queries,200,900,2200,8600,19100,68300,271900,5818500
round_k,1,5,21,95,341,1359,5900,29092
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3300,10300,33300,123500,494100,11893100
round_k,1,4,16,51,166,617,2470,11297,59465
round_shots,200,200,200,100,200,100,100,100,100
