round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,10700,51100,253300,1255100,6403500
round_k,0,1,4,21,53,255,1266,6275,32017
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,28100,128700,654700,3337700
round_k,0,1,6,29,140,643,3273,16688
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,19100,62100,146300,631700,3062500
round_k,0,1,5,23,95,310,731,3158,15312
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,2900,6900,34700,174700,868500,4466700
round_k,0,1,5,14,34,173,873,4342,22333
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,14300,52700,249900,1527700,7770100
round_k,0,1,6,29,71,263,1249,7638,38850
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1900,9100,41500,161700,833500,4001300
round_k,0,2,9,45,207,808,4167,20006
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,2500,8300,42700,205300,1042100,5354900
round_k,0,1,5,12,41,213,1026,5210,26774
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,17300,40700,171100,830700,4265500
round_k,0,1,5,23,86,203,855,4153,21327
round_shots,100,100,100,200,100,100,100,100
